id,name,place,rtaf_tel,rta_tel,note
114,"ศูนย์ฝึก นศ. มทบ.33","เชียงใหม่",,,"088-2534458 ร.ท.จักรพงษ์"
115,"กองพันสัตว์ต่าง กส.ทบ.","เชียงใหม่",,,
116,"กองเกษตรกรรม ที่3 กส.ทบ.","เชียงใหม่",,,
117,"มทบ.38 ","น่าน",0853022622-4,"71200 71300"," 087-1727328 จ.สัญญา, 087-8497565 จ.จิรวรรณ"
118,"ม.พัน.15","น่าน",054-716005,,"จ.โอภาส"
119,"ททบ.5 น่าน","น่าน",097-9219769,,"พี่สายันณ์"
120,"มทบ. 36 ","เพชรบูรณ์",0853012640-4,"70399 70059","062-4040972 พี่ยอด, 092-8241883 เอ"
121,"ม.พัน.28 ","เพชรบูรณ์",0853012010,"70500 70555",056-737515
122,"สร.ภูหมันขาว ทอ.","เพชรบูรณ์",,,"083-7390401 ร.อ.ยุทธนา (ผลัดเปลี่ยนกันขึ้น)"
123,"มทบ.310 ","ตาก",0853022620,"72600 72700","099-3572653 จ.ศิริธรรม"
124,"กกล.นเรศวร","ตาก",,,"093-3154412 ส.กอล์ฟ"
125,"ร.7 พัน.5 (ปาย)","แม่ฮ่องสอน",,"95533-4 95538-9","062-4942250 ส.อ.พชร อักษรศักดิ์"
126,"กรมทพ.36 (แม่เสรียง)","แม่ฮ่องสอน",,"82020 - 82023",
127,,,,,
128,"กองทัพภาคที่ 4",,,,
129,"ทภ.4 ","นครศรีธรรมราช",0854123671-2,"40443-6 40520","083-0737055 จ.ส.อ.จีรเดช ,095-6342179 ส.ณัฐพล(เจ)"
130,"มทบ.43 (จทบ.ท.ส.)","นครศรีธรรมราช",0854123681-4,"45210 45400","088-4474743 จ.ส.อ.พิเชต  โจมชู"
131,"กกล.เทพสตรี (ทุ่งสง)","นครศรีธรรมราช",,,"098-2626871  จ.ส.อ.ภูริทัตร  ศรีภักดิ์"
132,"พล.ร.5 (ทุ่งสง)","นครศรีธรรมราช",,,"083-6418330 ร.ต.ปุญญ์ชนัตร์ แก้วฟุ้งรังษี"
133,"ททบ.เขารามโรม","นครศรีธรรมราช"," -",45199,
134,"ร้อย ฝรพ.4 (สิชล)","นครศรีธรรมราช",,,"084-6254415 จ.ส.อ.ณรงค์  บุญนายก"
135,"มทบ.44  (จทบ.ช.พ.)  ","ชุมพร",0855523677-80,"44297 44198-9","090-1768402 จ.ส.อ.เทวรร,084-1834861พี่ตู่"
136,"มทบ.45(  จทบ.ส.ฎ.)","สุราฎร์ธานี",0854123697-9,"45648 45672-3",
137,"ร.15 พัน.4 ","ตรัง"," -",48030,"083-1717909 จ.ส.อ.มนตรี"
138,"มทบ.42 (หาดใหญ่)","สงขลา",0854123686-8,"44696 44300 44699","089-1507499 จ.ส.อ.ไพรศาล  หนูแก้ว"
139,"สทอ.บ้านพรุ (หาดใหญ่)","สงขลา",,,"080-6047696 พ.อ.อ.ชาญชัย ชาญตระกูลทวี"
140,"ททบ. เขาคอหงษ์   ","สงขลา"," -","44360 44694",
141,"พล.พัฒนาที่ 4 ","สงขลา","0854123698 ",42100,"087-5974698  ร.ท.พิรุฬห์  หนูพุ่ม"
142,"กรม สน.พล.ร.15  (เทพา)","สงขลา",,," 0620684888 จ.ส.อ.วิโชติ  หมาดหลี จนท.สส.ทหาร"
143,"ร.5พัน.3 (นาทวี)","สงขลา",,"82047 - 82050","086-2005161จ.ส.อ.อุเทน  สพประสงค์"
144,"ร.5พัน.2","สตูล",,"82043 - 82046","095-3394146 จ.ส.อ.สุริยา  มามาตย์"
145,"มทบ.46 (จทบ.ป.น.) ","ปัตตานี",0854123662-4,"43290 43000 43521","0895960062 พี่อนุวัฒน์"
146,"พล.ร.15   ","ปัตตานี",,"43700 43777",
147,"ส.พัน.15  (ร.153 เดิม)","ปัตตานี",,"46900 46907",
148,"ททบ. เขาบือยอ","ยะลา"," -",43535,
149,"ร.152 พัน.3 (สิรินธร)","ยะลา",0855711765,"46000 46009",
150,"ร.152 พัน.2 (รามัน)","ยะลา",,,"090-4785753 หมวตชิตพล,061-6350952ส.อ.ณัฐพงศ์ ไวยสุตรา"
151,"ร.153 (ส.พัน 15)","ปัตตานี"," -",46900,
152,"ร.151พัน.3 (ปิเหล็ง)","นราธิวาส",,,"083-5946494 จ.ส.อ.พูนเพิ่ม  ธรรรมานุสาร(เอส)"
153,"ร.151 (กะลุวอ)","นราธิวาส",,,"084-0079902 พี่เอ็ม847 ,090-4783296 จ.ส.อ.อาเพนดี  มะเย็ง"
154,"ช.15","ปัตตานี",,46889,
155,"พระตำหนักทักษิณฯ ","นราธิวาส"," -",42713,"081-1879011 ร.ท.วิรัตน์  เทพส่ง"
